number_cc_transactions,date_of_transactions,
93,3/21/08,
113,3/22/08,
90,3/23/08,
138,3/24/08,
128,3/25/08,
128,3/26/08,
136,3/27/08,
119,3/28/08,
84,3/29/08,
96,3/30/08,
125,3/31/08,
101,4/1/08,
90,4/2/08,
109,4/3/08,
149,4/4/08,
94,4/5/08,
112,4/6/08,
144,4/7/08,
98,4/8/08,
95,4/9/08,
96,4/10/08,
132,4/11/08,
135,4/12/08,
78,4/13/08,
148,4/14/08,
113,4/15/08,
130,4/16/08,
124,4/17/08,
87,4/18/08,
69,4/19/08,
87,4/20/08,
100,4/21/08,
98,4/22/08,
86,4/23/08,
114,4/24/08,
114,4/25/08,
75,4/26/08,
72,4/27/08,
128,4/28/08,
127,4/29/08,
138,4/30/08,
118,5/1/08,
128,5/2/08,
76,5/3/08,
94,5/4/08,
125,5/5/08,
118,5/6/08,
122,5/7/08,
306,5/8/08,
707,5/9/08,
451,5/10/08,
487,5/11/08,
784,5/12/08,
1013,5/13/08,
888,5/14/08,
863,5/15/08,
837,5/16/08,
531,5/17/08,
516,5/18/08,
676,5/19/08,
838,5/20/08,
811,5/21/08,
798,5/22/08,
649,5/23/08,
436,5/24/08,
400,5/25/08,
634,5/26/08,
772,5/27/08,
653,5/28/08,
771,5/29/08,
783,5/30/08,
533,5/31/08,
449,6/1/08,
768,6/2/08,
662,6/3/08,
677,6/4/08,
702,6/5/08,
637,6/6/08,
431,6/7/08,
473,6/8/08,
684,6/9/08,
613,6/10/08,
1001,6/11/08,
959,6/12/08,
883,6/13/08,
550,6/14/08,
428,6/15/08,
958,6/16/08,
900,6/17/08,
903,6/18/08,
757,6/19/08,
793,6/20/08,
598,6/21/08,
497,6/22/08,
816,6/23/08,
731,6/24/08,
799,6/25/08,
772,6/26/08,
780,6/27/08,
520,6/28/08,
475,6/29/08,
782,6/30/08,
643,7/1/08,
804,7/2/08,
737,7/3/08,
543,7/4/08,
459,7/5/08,
510,7/6/08,
816,7/7/08,
994,7/8/08,
875,7/9/08,
727,7/10/08,
950,7/11/08,
729,7/12/08,
625,7/13/08,
827,7/14/08,
1008,7/15/08,
1103,7/16/08,
1068,7/17/08,
1095,7/18/08,
770,7/19/08,
682,7/20/08,
1275,7/21/08,
1288,7/22/08,
1264,7/23/08,
1364,7/24/08,
1463,7/25/08,
1047,7/26/08,
836,7/27/08,
1627,7/28/08,
1487,7/29/08,
1256,7/30/08,
1249,7/31/08,
1400,8/1/08,
805,8/2/08,
742,8/3/08,
1045,8/4/08,
1461,8/5/08,
1629,8/6/08,
1371,8/7/08,
1267,8/8/08,
992,8/9/08,
958,8/10/08,
1419,8/11/08,
1282,8/12/08,
1298,8/13/08,
1079,8/14/08,
1192,8/15/08,
914,8/16/08,
815,8/17/08,
1486,8/18/08,
1300,8/19/08,
1248,8/20/08,
1324,8/21/08,
1278,8/22/08,
913,8/23/08,
783,8/24/08,
1374,8/25/08,
1103,8/26/08,
1333,8/27/08,
1194,8/28/08,
1193,8/29/08,
843,8/30/08,
593,8/31/08,
692,9/1/08,
1395,9/2/08,
1300,9/3/08,
1076,9/4/08,
1076,9/5/08,
876,9/6/08,
722,9/7/08,
962,9/8/08,
960,9/9/08,
889,9/10/08,
793,9/11/08,
1153,9/12/08,
933,9/13/08,
922,9/14/08,
1410,9/15/08,
1315,9/16/08,
1210,9/17/08,
1124,9/18/08,
1054,9/19/08,
755,9/20/08,
651,9/21/08,
1226,9/22/08,
1175,9/23/08,
1128,9/24/08,
1079,9/25/08,
1065,9/26/08,
698,9/27/08,
659,9/28/08,
1192,9/29/08,
993,9/30/08,
1078,10/1/08,
1055,10/2/08,
1160,10/3/08,
761,10/4/08,
582,10/5/08,
1094,10/6/08,
1093,10/7/08,
1033,10/8/08,
957,10/9/08,
1031,10/10/08,
864,10/11/08,
764,10/12/08,
1195,10/13/08,
1036,10/14/08,
1067,10/15/08,
1161,10/16/08,
1038,10/17/08,
645,10/18/08,
626,10/19/08,
1177,10/20/08,
1221,10/21/08,
1047,10/22/08,
1083,10/23/08,
1059,10/24/08,
822,10/25/08,
779,10/26/08,
1234,10/27/08,
992,10/28/08,
1062,10/29/08,
1112,10/30/08,
1076,10/31/08,
889,11/1/08,
780,11/2/08,
1152,11/3/08,
1137,11/4/08,
1158,11/5/08,
1087,11/6/08,
1021,11/7/08,
967,11/8/08,
910,11/9/08,
1155,11/10/08,
1216,11/11/08,
1545,11/12/08,
1656,11/13/08,
1761,11/14/08,
1103,11/15/08,
976,11/16/08,
1852,11/17/08,
1573,11/18/08,
1511,11/19/08,
1606,11/20/08,
1383,11/21/08,
1035,11/22/08,
818,11/23/08,
1406,11/24/08,
1551,11/25/08,
1387,11/26/08,
797,11/27/08,
1019,11/28/08,
875,11/29/08,
1032,11/30/08,
933,12/1/08,
1554,12/2/08,
1635,12/3/08,
1538,12/4/08,
1318,12/5/08,
860,12/6/08,
698,12/7/08,
1054,12/8/08,
916,12/9/08,
996,12/10/08,
870,12/11/08,
834,12/12/08,
622,12/13/08,
560,12/14/08,
1077,12/15/08,
1561,12/16/08,
1404,12/17/08,
1284,12/18/08,
932,12/19/08,
648,12/20/08,
547,12/21/08,
815,12/22/08,
694,12/23/08,
421,12/24/08,
273,12/25/08,
584,12/26/08,
568,12/27/08,
636,12/28/08,
894,12/29/08,
866,12/30/08,
725,12/31/08,
518,1/1/09,
1247,1/2/09,
1357,1/3/09,
1318,1/4/09,
1686,1/5/09,
1960,1/6/09,
1780,1/7/09,
1641,1/8/09,
1398,1/9/09,
877,1/10/09,
805,1/11/09,
1266,1/12/09,
1097,1/13/09,
1622,1/14/09,
1970,1/15/09,
1867,1/16/09,
1142,1/17/09,
1056,1/18/09,
1473,1/19/09,
1699,1/20/09,
1707,1/21/09,
1632,1/22/09,
1421,1/23/09,
1017,1/24/09,
1153,1/25/09,
1739,1/26/09,
1471,1/27/09,
1442,1/28/09,
1330,1/29/09,
1359,1/30/09,
1240,1/31/09,
1219,2/1/09,
1789,2/2/09,
1599,2/3/09,
1381,2/4/09,
1624,2/5/09,
1449,2/6/09,
1322,2/7/09,
1214,2/8/09,
1600,2/9/09,
1468,2/10/09,
1310,2/11/09,
1322,2/12/09,
1416,2/13/09,
1032,2/14/09,
1138,2/15/09,
1468,2/16/09,
1356,2/17/09,
1298,2/18/09,
1538,2/19/09,
1344,2/20/09,
1142,2/21/09,
980,2/22/09,
1495,2/23/09,
1337,2/24/09,
1362,2/25/09,
1486,2/26/09,
1245,2/27/09,
865,2/28/09,
689,3/1/09,
1051,3/2/09,
1383,3/3/09,
1716,3/4/09,
1967,3/5/09,
1424,3/6/09,
1229,3/7/09,
910,3/8/09,
1100,3/9/09,
1347,3/10/09,
1775,3/11/09,
1409,3/12/09,
1421,3/13/09,
910,3/14/09,
778,3/15/09,
1493,3/16/09,
1416,3/17/09,
1461,3/18/09,
1540,3/19/09,
1185,3/20/09,
880,3/21/09,
804,3/22/09,
1637,3/23/09,
1570,3/24/09,
1160,3/25/09,
1517,3/26/09,
1623,3/27/09,
989,3/28/09,
1034,3/29/09,
1475,3/30/09,
1452,3/31/09,
1600,4/1/09,
1365,4/2/09,
1216,4/3/09,
818,4/4/09,
811,4/5/09,
1496,4/6/09,
1265,4/7/09,
1482,4/8/09,
1169,4/9/09,
1020,4/10/09,
744,4/11/09,
651,4/12/09,
1294,4/13/09,
1291,4/14/09,
1486,4/15/09,
1423,4/16/09,
1272,4/17/09,
1160,4/18/09,
1294,4/19/09,
1803,4/20/09,
1709,4/21/09,
1444,4/22/09,
1500,4/23/09,
1186,4/24/09,
830,4/25/09,
731,4/26/09,
1448,4/27/09,
1688,4/28/09,
1596,4/29/09,
1473,4/30/09,
1592,5/1/09,
1040,5/2/09,
886,5/3/09,
1535,5/4/09,
1421,5/5/09,
1606,5/6/09,
1624,5/7/09,
1567,5/8/09,
1013,5/9/09,
803,5/10/09,
1610,5/11/09,
1851,5/12/09,
1694,5/13/09,
1667,5/14/09,
1849,5/15/09,
1250,5/16/09,
1121,5/17/09,
1393,5/18/09,
1687,5/19/09,
1934,5/20/09,
1803,5/21/09,
1929,5/22/09,
1256,5/23/09,
1061,5/24/09,
1273,5/25/09,
1628,5/26/09,
1993,5/27/09,
2333,5/28/09,
2026,5/29/09,
1422,5/30/09,
1444,5/31/09,
2383,6/1/09,
2025,6/2/09,
1818,6/3/09,
1715,6/4/09,
1813,6/5/09,
1576,6/6/09,
1233,6/7/09,
1878,6/8/09,
1925,6/9/09,
2160,6/10/09,
1558,6/11/09,
1299,6/12/09,
1112,6/13/09,
1148,6/14/09,
1867,6/15/09,
2092,6/16/09,
1779,6/17/09,
1537,6/18/09,
1602,6/19/09,
1773,6/20/09,
1218,6/21/09,
1867,6/22/09,
1325,6/23/09,
1356,6/24/09,
1592,6/25/09,
1532,6/26/09,
1752,6/27/09,
1568,6/28/09,
2478,6/29/09,
2764,6/30/09,
1987,7/1/09,
1832,7/2/09,
1266,7/3/09,
1323,7/4/09,
1707,7/5/09,
2556,7/6/09,
2358,7/7/09,
2200,7/8/09,
2173,7/9/09,
2000,7/10/09,
1568,7/11/09,
1266,7/12/09,
2158,7/13/09,
1979,7/14/09,
1776,7/15/09,
1457,7/16/09,
1664,7/17/09,
2120,7/18/09,
1505,7/19/09,
2463,7/20/09,
2620,7/21/09,
2333,7/22/09,
2385,7/23/09,
2238,7/24/09,
1512,7/25/09,
1460,7/26/09,
2612,7/27/09,
2727,7/28/09,
2517,7/29/09,
2189,7/30/09,
2371,7/31/09,
1491,8/1/09,
1466,8/2/09,
1766,8/3/09,
1635,8/4/09,
1302,8/5/09,
1300,8/6/09,
1222,8/7/09,
910,8/8/09,
934,8/9/09,
1850,8/10/09,
1980,8/11/09,
1731,8/12/09,
2008,8/13/09,
1504,8/14/09,
1131,8/15/09,
1191,8/16/09,
1657,8/17/09,
1841,8/18/09,
1936,8/19/09,
1634,8/20/09,
1501,8/21/09,
1122,8/22/09,
988,8/23/09,
1928,8/24/09,
1810,8/25/09,
1690,8/26/09,
1567,8/27/09,
1442,8/28/09,
1232,8/29/09,
1457,8/30/09,
1789,8/31/09,
1744,9/1/09,
1330,9/2/09,
1663,9/3/09,
1513,9/4/09,
910,9/5/09,
759,9/6/09,
1008,9/7/09,
1875,9/8/09,
1702,9/9/09,
1541,9/10/09,
1609,9/11/09,
1167,9/12/09,
1037,9/13/09,
1477,9/14/09,
1653,9/15/09,
1639,9/16/09,
1345,9/17/09,
1726,9/18/09,
1119,9/19/09,
911,9/20/09,
1657,9/21/09,
1794,9/22/09,
1599,9/23/09,
1639,9/24/09,
1400,9/25/09,
966,9/26/09,
1026,9/27/09,
1617,9/28/09,
1718,9/29/09,
1342,9/30/09,
1391,10/1/09,
1580,10/2/09,
1271,10/3/09,
1182,10/4/09,
1421,10/5/09,
1449,10/6/09,
1480,10/7/09,
1484,10/8/09,
1324,10/9/09,
1086,10/10/09,
1122,10/11/09,
1706,10/12/09,
1432,10/13/09,
1585,10/14/09,
1666,10/15/09,
1540,10/16/09,
1066,10/17/09,
1028,10/18/09,
1770,10/19/09,
1628,10/20/09,
1728,10/21/09,
1508,10/22/09,
1549,10/23/09,
1325,10/24/09,
1081,10/25/09,
1593,10/26/09,
1567,10/27/09,
1595,10/28/09,
1428,10/29/09,
1476,10/30/09,
1112,10/31/09,
1194,11/1/09,
1482,11/2/09,
1806,11/3/09,
1721,11/4/09,
1605,11/5/09,
1430,11/6/09,
1015,11/7/09,
966,11/8/09,
1601,11/9/09,
1659,11/10/09,
1521,11/11/09,
1324,11/12/09,
1368,11/13/09,
940,11/14/09,
843,11/15/09,
1261,11/16/09,
1344,11/17/09,
1523,11/18/09,
1338,11/19/09,
1353,11/20/09,
1022,11/21/09,
950,11/22/09,
1412,11/23/09,
1356,11/24/09,
1151,11/25/09,
687,11/26/09,
1096,11/27/09,
861,11/28/09,
837,11/29/09,
1554,11/30/09,
1488,12/1/09,
1421,12/2/09,
1416,12/3/09,
1357,12/4/09,
907,12/5/09,
821,12/6/09,
1517,12/7/09,
1548,12/8/09,
1395,12/9/09,
1274,12/10/09,
1259,12/11/09,
1025,12/12/09,
849,12/13/09,
1217,12/14/09,
1381,12/15/09,
1191,12/16/09,
1175,12/17/09,
1017,12/18/09,
719,12/19/09,
671,12/20/09,
891,12/21/09,
1111,12/22/09,
1014,12/23/09,
725,12/24/09,
479,12/25/09,
717,12/26/09,
631,12/27/09,
1112,12/28/09,
1295,12/29/09,
1271,12/30/09,
1096,12/31/09,
479,1/1/10,
878,1/2/10,
875,1/3/10,
1482,1/4/10,
1486,1/5/10,
1450,1/6/10,
1504,1/7/10,
1366,1/8/10,
1212,1/9/10,
969,1/10/10,
1554,1/11/10,
1697,1/12/10,
1497,1/13/10,
1495,1/14/10,
1461,1/15/10,
1263,1/16/10,
1017,1/17/10,
1430,1/18/10,
1485,1/19/10,
1490,1/20/10,
1556,1/21/10,
1569,1/22/10,
1256,1/23/10,
1051,1/24/10,
1795,1/25/10,
1622,1/26/10,
1476,1/27/10,
1564,1/28/10,
1427,1/29/10,
1220,1/30/10,
966,1/31/10,
1529,2/1/10,
1636,2/2/10,
1634,2/3/10,
1705,2/4/10,
1433,2/5/10,
1246,2/6/10,
948,2/7/10,
1648,2/8/10,
1610,2/9/10,
1552,2/10/10,
1649,2/11/10,
1420,2/12/10,
1247,2/13/10,
829,2/14/10,
1482,2/15/10,
1617,2/16/10,
1548,2/17/10,
1450,2/18/10,
1424,2/19/10,
1211,2/20/10,
1011,2/21/10,
1414,2/22/10,
1733,2/23/10,
1444,2/24/10,
1607,2/25/10,
1478,2/26/10,
1386,2/27/10,
1124,2/28/10,
1597,3/1/10,
1567,3/2/10,
1563,3/3/10,
1457,3/4/10,
1214,3/5/10,
1066,3/6/10,
979,3/7/10,
1488,3/8/10,
1555,3/9/10,
1657,3/10/10,
1476,3/11/10,
1511,3/12/10,
1253,3/13/10,
988,3/14/10,
1539,3/15/10,
1449,3/16/10,
1496,3/17/10,
1442,3/18/10,
1403,3/19/10,
1200,3/20/10,
941,3/21/10,
1583,3/22/10,
1569,3/23/10,
1599,3/24/10,
1647,3/25/10,
1705,3/26/10,
1400,3/27/10,
1182,3/28/10,
1669,3/29/10,
1512,3/30/10,
1540,3/31/10,
1570,4/1/10,
1549,4/2/10,
1174,4/3/10,
954,4/4/10,
1565,4/5/10,
1722,4/6/10,
1596,4/7/10,
1676,4/8/10,
1526,4/9/10,
1272,4/10/10,
1111,4/11/10,
1747,4/12/10,
1597,4/13/10,
1577,4/14/10,
1540,4/15/10,
1421,4/16/10,
1356,4/17/10,
1154,4/18/10,
1567,4/19/10,
1620,4/20/10,
1547,4/21/10,
1622,4/22/10,
1555,4/23/10,
1316,4/24/10,
1306,4/25/10,
1570,4/26/10,
1591,4/27/10,
1590,4/28/10,
1495,4/29/10,
1354,4/30/10,
1053,5/1/10,
1166,5/2/10,
1574,5/3/10,
1439,5/4/10,
1494,5/5/10,
1469,5/6/10,
1410,5/7/10,
1183,5/8/10,
1125,5/9/10,
1769,5/10/10,
1749,5/11/10,
1822,5/12/10,
1993,5/13/10,
2029,5/14/10,
1468,5/15/10,
1097,5/16/10,
1969,5/17/10,
2104,5/18/10,
1972,5/19/10,
1763,5/20/10,
1608,5/21/10,
1342,5/22/10,
1298,5/23/10,
1633,5/24/10,
1632,5/25/10,
1613,5/26/10,
1545,5/27/10,
1468,5/28/10,
1072,5/29/10,
1056,5/30/10,
1229,5/31/10,
1583,6/1/10,
1679,6/2/10,
1798,6/3/10,
1577,6/4/10,
1415,6/5/10,
1253,6/6/10,
1676,6/7/10,
1628,6/8/10,
1596,6/9/10,
1598,6/10/10,
1670,6/11/10,
1327,6/12/10,
1354,6/13/10,
1990,6/14/10,
2039,6/15/10,
1912,6/16/10,
1718,6/17/10,
1696,6/18/10,
1503,6/19/10,
1421,6/20/10,
1971,6/21/10,
1895,6/22/10,
1886,6/23/10,
1906,6/24/10,
1622,6/25/10,
1598,6/26/10,
1471,6/27/10,
1808,6/28/10,
1813,6/29/10,
1757,6/30/10,
1508,7/1/10,
1557,7/2/10,
1165,7/3/10,
1129,7/4/10,
1471,7/5/10,
1908,7/6/10,
1874,7/7/10,
1850,7/8/10,
