secondary_filter,bar_categories,all,agriculture,conservation,construction,education,emergency,government,infrastructure,insurance,manufacturer,other,photo,real estate,research,scientific,utilities
exemptions,Sep-14,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
exemptions,Oct-14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
exemptions,Nov-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exemptions,Dec-14,5,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1
exemptions,Jan-15,8,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1
exemptions,Feb-15,16,4,0,0,0,1,0,0,2,0,0,5,1,0,0,3
exemptions,Mar-15,30,6,0,1,0,0,0,0,0,1,0,5,1,0,0,16
exemptions,Apr-15,178,17,0,8,10,3,1,0,4,12,3,70,13,0,0,37
exemptions,May-15,249,31,3,17,10,4,0,0,3,3,1,101,36,2,1,37
exemptions,Jun-15,217,14,1,15,8,4,4,0,2,1,2,92,34,0,1,39
exemptions,Jul-15,273,23,8,19,4,3,4,0,1,4,1,111,58,0,3,34
