Date ,Company,Category,Aircraft,Location,Description,
9/25/14,Astraeus Aerial,Photo/Film,Astraeus Aerial Cinema System V.3CS UAS,CA,Closed-set filming.,
9/25/14,Aerial MOB,Photo/Film,"HexaCrafter HC-1100, Aeronavics SkyJib 8 Heavy Lifter, Aerial MOB Discovery Pro Light Lifter, Aerial MOB Halo 8 Heavy Lifter1, DJI Phantom 2",CA,Closed-set filming. (Amended 2/3/15 and 4/30/15),
9/25/14,Pictorvision,Photo/Film,"PV- 14817, PVHL1, PV- 14817 PV-HL2, DJI Phantom 2, DJI Phantom 3, PV-HL 3",CA,Closed-set filming. (Amended 2/2/15 and 6/24/15),
9/25/14,HeliVideo Productions,Photo/Film,"HVP- 14301 MultiRotor, Rotorcraft Model ERX12",TX,Closed-set filming. (Amended 4/29/15),
9/25/14,Snaproll Media,Photo/Film,"Snaproll Media SUAS, Freefly Cinestar 6, Freefly Cinestar 8, DJI Phantom 1, DJI Phantom 2, DJI Phantom 3, DJI Inspire 1, Intuitive Aerial Aerigon IA3",TN,Closed-set filming. (Amended 7/23/15),
9/25/14,"RC Pro Productions Consulting, dba Vortex Aerial",Photo/Film,"Coaxial Quad Multirotor VAO1, Coaxial Quad Multirotor VAO21, VA03, VA04 Quadcopter, VA07 Hexacopter",CA,Closed-set filming. (Amended 4/29/15),
10/10/14,Flying Cam,"Manufacturer, Photo/Film",Flying-Cam 3.0 SARAH,CA,Closed-set filming.,
12/10/14,"Trimble Navigation, Ltd","Manufacturer, Agriculture","Trimble UX5, Trimble UX5 hp, Trimble ZX5, Eagle G4",CA,"Precision aerial surveying, agriculture (Amended: 5/7/15) (Amended: 7/23/15)",
12/10/14,Woolpert (I),"Manufacturer, Agriculture",Woolpert Altavian Nova Block III (Nova Block III),OH,Precision aerial surveying. (Amended 4/30/15),
12/10/14,Woolpert (II),"Manufacturer, Agriculture",Woolpert Altavian Nova Block III (Nova Block III),OH,Precision aerial surveying.,
12/10/14,VDOS Global,Utilities/Energy/Infrastructure,SkyRanger,OR,"Flare stack inspection, aerial inspection, training, and flight demonstration. (Amended 2/25/15 and 4/29/15)",
12/10/14,Clayco,Construction,Skycatch Unmanned Aircraft System,IL,"Aerial imaging, construction.",
1/6/15,Advanced Aviation Solutions,Agriculture,SenseFly eBee,WA,Precision agriculture.,
1/6/15,"Douglas Trudeau, Tierra Antigua Realty",Real Estate,DJI Phantom 2 Vision+,AZ,"Real estate photography, videography.",
1/23/15,AeroCine,Photo/Film,"AeroCine Kopterworx Hammer X12, DJI S1000, Aerobo",CA,Aerial filming. (Amended 4/29/15),
1/23/15,Burnz Eye View,Photo/Film,"DJI Phantom 2, DJI S100, DJI Inspire",CA,"Aerial photography, inspection. (Amended 4/29/15)",
1/29/15,Total Safety U.S.,Utilities/Energy/Infrastructure,DJI S1000,TX,Flare stack inspection.,
1/29/15,"Slugwear, dba LikeonaTree",Photo/Film,DJI Phantom 2,WA,Aerial photography.,
1/29/15,Team 5,Photo/Film,"Gryphon Dynamics X8, DJI S1000",CA,"Aerial filming, motion picture and television.",
1/29/15,Shotover,Photo/Film,"Gryphon Dynamics X8, DJI S1000",CA,Motion picture and television operations. (Amended 4/29/15),
