puma_id,state,internet,mean_income,median_income,pumaname
100100,1,0.6491274,49510.33,40000,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties"
100200,1,0.7498413,73999.13,55900,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)
100301,1,0.8295002,76818.09,58910,Huntsville (North) & Madison (East) Cities
100302,1,0.7352561,68143.06,46710,Huntsville City (Central & South)
100400,1,0.4999636,49490,38700,DeKalb & Jackson Counties
100500,1,0.599764,59884.38,42000,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)
100600,1,0.6506677,54121.9,42100,Morgan & Lawrence Counties--Decatur City
100700,1,0.6023416,54846.99,39000,Cullman & Winston Counties
100800,1,0.6518197,64744.5,50000,St. Clair & Blount Counties
100900,1,0.6000997,51118.55,40000,Etowah County
101000,1,0.587386,48686.3,33100,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties"
101100,1,0.6934322,46785.13,37400,Calhoun County
101200,1,0.8121285,88696.53,69000,Shelby County
101301,1,0.4225481,34260.58,25100,Birmingham City (West)
101302,1,0.5328376,46001.53,30000,Birmingham City (East)
101303,1,0.8245451,100330.8,67000,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities"
101304,1,0.7099786,65701,51200,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities"
101305,1,0.6599724,64447.64,49000,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities"
101400,1,0.5525572,49809.07,35000,"Walker, Marion (South & West), Fayette & Lamar Counties"
101500,1,0.7253184,67913.41,53000,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)
101600,1,0.6623322,50213.73,36000,Tuscaloosa & Northport (Southeast) Cities
101700,1,0.4222208,41958.52,31100,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties"
101800,1,0.6098483,52598.63,38700,"Chilton, Tallapoosa, Chambers & Coosa Counties"
101900,1,0.7271112,64601.74,49000,Lee County--Auburn City
102000,1,0.7213705,63596.23,41800,Montgomery City & Pike Road Town (North)
102100,1,0.72091,62893.4,50000,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties"
102200,1,0.4502836,41885.27,29000,Southwest Alabama
102300,1,0.5963645,49315.08,35000,"Coffee, Covington, Butler & Crenshaw Counties"
102400,1,0.5147655,47191.43,36800,"Russell, Pike, Barbour, Macon & Bullock Counties"
102500,1,0.655695,55777.45,42000,"Houston, Dale, Geneva & Henry Counties--Dothan City"
102600,1,0.6940463,64635.08,42800,Baldwin County
102701,1,0.5128504,40373.38,26000,Mobile City (East)
102702,1,0.6559251,59891.96,43500,Mobile City (West)
102703,1,0.661093,60200.71,50000,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City"
200101,2,0.75718,91700.98,74000,Anchorage Municipality (North)
200102,2,0.8334798,103940.6,86000,Anchorage Municipality (South)
200200,2,0.8292302,83251.62,70700,Matanuska-Susitna & Kenai Peninsula Boroughs
200300,2,0.7554387,83522.46,70000,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska"
200400,2,0.6619748,77866.69,57300,Subsistence Alaska
400100,4,0.9580797,105767.5,87100,Maricopa County--Gilbert (South) & Queen Creek Towns
400101,4,0.7922133,69672.15,55000,Maricopa County--Mesa City (East)
400102,4,0.7454619,62927.16,45000,Maricopa County--Mesa City (North Central)
400103,4,0.6770211,49798.04,36000,Maricopa County--Mesa City (West)
400104,4,0.6974084,49372.4,40000,Maricopa County--Mesa City (South Central)
400105,4,0.8926919,92626.2,77000,Maricopa County--Gilbert Town (North)
400106,4,0.7967561,66572.41,55000,Maricopa County--Chandler City (Northeast)
400107,4,0.897844,97510.51,76000,Maricopa County--Chandler City (South)
400108,4,0.8966851,91270.91,68400,Maricopa County--Tempe (South) & Chandler (Northwest) Cities
400109,4,0.7617154,49819.87,38000,Maricopa County--Tempe City (North)
400110,4,0.8467709,102357.4,59300,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town
400111,4,0.8799213,110444.5,74000,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town
400112,4,0.9348011,123801.8,84900,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek"
400113,4,0.889918,92781.05,65400,Phoenix City (Northeast)
400114,4,0.766521,67066.93,50000,Phoenix City (Northeast Central)
400115,4,0.7269906,55752.16,41000,Phoenix City (Northwest Central)
400116,4,0.6449004,59035.71,37300,Phoenix City (Uptown)
400117,4,0.7404019,67933.33,44000,Phoenix City (East)
400118,4,0.5711828,44939.31,30000,Phoenix City--Downtown & Sky Harbor International Airport
400119,4,0.574208,47128.12,33400,Phoenix City (South)
400120,4,0.9106572,104158.8,81500,Phoenix City--Ahwatukee & South Mountain
400121,4,0.6520055,54744.39,45000,Phoenix (Southwest) & Tolleson Cities
400122,4,0.3459825,29651.08,22600,Phoenix City--Maryvale (East)
400123,4,0.5765994,43413.52,35850,Phoenix City--Maryvale (West)
400124,4,0.4888038,43459.48,33000,Maricopa County--Glendale City (South)
400125,4,0.638806,43735.13,35000,Phoenix City (West)
400126,4,0.7669696,71898.78,53000,Maricopa County--Glendale City (North)
400127,4,0.7345253,67212.29,52000,Maricopa County--Peoria City (South & Central)
400128,4,0.8566046,74191.63,60000,Phoenix City (North)
400129,4,0.910438,100044.1,80000,Phoenix (Far North) & Peoria (Northwest) Cities
400130,4,0.7160733,50995.17,42000,Maricopa County--El Mirage City & Sun City
400131,4,0.902422,65611.68,59300,Maricopa County--Surprise City (Central)
400132,4,0.8902456,80827.68,67140,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities"
400133,4,0.654759,59318.53,48500,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities
400134,4,0.7860855,63612.24,50000,Maricopa County (West) & Gila River Indian Community (Northwest)
400201,4,0.6113448,53636.1,43000,Pima County (West)
400202,4,0.7454667,65061.14,48500,Tucson (West) & Marana Cities
400203,4,0.8410062,76526.3,63800,Pima County (North Central)--Oro Valley Town
400204,4,0.8639903,98914.42,68400,Pima County (Northeast)
400205,4,0.8456303,69389.25,56000,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town
400206,4,0.6901208,50214.5,36000,Tucson City (Northeast)
400207,4,0.663097,41779.51,26400,Tucson City (Northwest)
400208,4,0.607871,37373.14,24800,Tucson City (South)
400209,4,0.7732114,47126.4,39500,Tucson City (Southeast)
400300,4,0.5327664,46514.43,35000,Navajo & Apache Counties
400400,4,0.7611526,64052.49,51800,Coconino County--Flagstaff City
400500,4,0.7272138,50367.04,39200,Yavapai County
400600,4,0.69019,49951.52,39000,Mohave & La Paz Counties--Lake Havasu City
400700,4,0.6754416,58248.69,41910,Yuma County--Yuma City
400800,4,0.6548063,49786.61,41300,"Gila, Graham, Greenlee & Pinal (East) Counties"
400803,4,0.7868258,65998.01,47600,Pinal County (North)--Apache Junction City
400805,4,0.6548284,56274.16,51000,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities"
400807,4,0.7054581,60929.98,48080,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities"
400900,4,0.7194634,57879.57,43900,Cochise & Santa Cruz Counties--Sierra Vista City
500100,5,0.5896567,78629.57,56400,Benton County
500200,5,0.7452154,63228.83,42600,Washington County
500300,5,0.6599044,46204.19,36700,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties"
500400,5,0.5627307,47664.93,33200,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties"
500500,5,0.6150534,50297.12,37800,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties"
500600,5,0.5344537,52450.64,38300,"Crittenden, Mississippi & Craighead (East) Counties"
500700,5,0.4513503,40436.68,27500,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties"
500800,5,0.561626,50589.59,39400,"White, Jackson, Prairie & Woodruff Counties"
500900,5,0.6902203,61001.36,50000,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities"
501000,5,0.6983664,72142.42,43000,Pulaski County (Central)--Little Rock City
501100,5,0.7099373,60508.73,48000,Faulkner & Lonoke Counties
501200,5,0.6883231,66699.89,50000,Saline County
501300,5,0.5582954,47003.41,35000,"Pope, Johnson, Yell, Conway & Perry Counties"
501400,5,0.6385022,56386.69,40000,Sebastian & Crawford Counties
501500,5,0.5383688,45475.74,34000,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties"
501600,5,0.6185327,51734.98,38000,"Garland, Hot Spring, Clark & Montgomery Counties"
501700,5,0.5766718,50819.5,36500,"Jefferson, Grant & Arkansas (Northwest) Counties"
501800,5,0.5414515,46305.29,30700,Southeast Arkansas
501900,5,0.5774269,49887.72,32900,South Central Arkansas
502000,5,0.5843586,47583.68,36000,Southwest Arkansas
600101,6,0.8613979,101997.1,66000,Alameda County (North)--Berkeley & Albany Cities
600102,6,0.7319086,61046.64,43200,Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities
600103,6,0.8915256,135489,100000,Alameda County (Northeast)--Oakland (East) & Piedmont Cities
600104,6,0.6736915,55904.17,40300,Alameda County (North Central)--Oakland City (South Central)
600105,6,0.8032718,85850.27,65600,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities"
600106,6,0.7833034,87374.6,72800,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland"
600107,6,0.7644767,83567.8,62000,Alameda County (Central)--Hayward City
600108,6,0.8765165,105783.5,85000,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities"
600109,6,0.8887826,129215.8,104180,Alameda County (South Central)--Fremont City (East)
600110,6,0.888238,130233.3,106800,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities"
600300,6,0.6972553,67749.52,51500,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties"
600701,6,0.8296983,68142.62,50800,Butte County (Northwest)--Chico City
600702,6,0.7046551,52849.25,41000,Butte County (Southeast)--Oroville City & Paradise Town
601100,6,0.6828627,63297.27,47300,"Colusa, Glenn, Tehama & Trinity Counties"
601301,6,0.7272987,61492.25,44000,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities
601302,6,0.8646699,105318.1,81100,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites"
601303,6,0.7831997,90978.66,67000,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities"
601304,6,0.9117054,155987.5,100000,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town"
601305,6,0.9361253,168173.1,140000,Contra Costa County (South)--San Ramon City & Danville Town
601306,6,0.900627,123215.7,94400,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities"
601307,6,0.7889491,69032.62,56000,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities
601308,6,0.7471199,73833.42,58700,Contra Costa County (Northeast)--Antioch City
601309,6,0.8765956,104209.8,90000,Contra Costa County (East)--Brentwood & Oakley Cities
601500,6,0.6840135,53584.78,40000,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties"
601700,6,0.7765277,90792.69,65000,El Dorado County--El Dorado Hills
601901,6,0.5675189,55724.89,40300,"Fresno County (West)--Selma, Kerman & Coalinga Cities"
601902,6,0.8147751,81270.94,59600,Fresno County (North Central)--Fresno City (North)
601903,6,0.6091915,40416.99,28400,Fresno County (Central)--Fresno City (East Central)
601904,6,0.6580756,47461.18,35100,Fresno County (Central)--Fresno City (Southwest)
