f,ict
16079,3
33017,1
16073,4
16071,4
16077,4
16075,4
48093,2
01129,1
40145,5
02100,2
02105,2
40147,3
19159,2
39109,4
19155,2
39105,3
19157,2
39107,3
19151,2
39101,3
19153,2
39103,5
40029,2
40143,5
48025,2
22009,3
40027,5
22001,3
22003,3
22005,4
13029,2
22007,4
46137,3
40023,2
46135,3
40021,3
51600,4
33013,1
51840,2
47081,2
26157,5
42055,5
26155,5
42057,7
12019,3
42051,4
26151,5
42053,4
12015,4
12017,2
12011,8
42059,4
12013,1
51115,3
46009,3
51111,2
51113,2
46003,3
46007,3
46005,3
17031,6
17033,4
48021,5
17035,4
05139,1
05137,2
05135,2
05133,1
05131,3
54027,1
12129,1
05003,1
26021,3
05001,1
26027,3
05007,3
26025,4
05005,3
12121,2
12123,1
05009,3
12125,1
12127,5
48261,1
20153,2
01025,1
01027,1
01021,1
01023,1
01029,1
37009,1
37007,2
37005,1
37003,2
37001,2
48365,1
48367,3
42129,4
48237,1
42125,4
42127,4
42121,4
42123,4
48091,4
48235,2
48233,2
51065,3
48149,3
48419,1
48145,4
48147,2
48141,3
48143,4
01111,1
01113,1
01115,1
01117,2
01119,1
45061,3
13059,3
45065,3
45067,3
13053,2
13051,2
13057,4
13055,2
01045,1
37177,1
37175,2
37173,1
37171,1
37179,2
54085,1
54087,1
54081,1
54083,1
54089,1
31129,3
31127,3
31125,3
31123,3
31121,3
18149,3
37125,1
18141,4
18143,1
18145,2
18147,1
37127,1
37121,2
29109,2
46011,3
05093,2
29101,2
29103,2
37123,1
29105,2
29107,2
55111,5
55113,1
55115,6
55117,5
48303,2
55119,3
34041,3
46013,3
48301,2
48307,3
48305,2
47035,1
47037,4
47031,2
47033,2
02130,2
47039,2
55029,5
19149,3
39171,3
19147,2
39173,6
19145,2
39175,3
19143,3
55023,3
19141,3
40141,2
22019,3
22013,3
22011,3
22017,4
22015,4
46129,3
46121,3
46123,3
46125,3
46127,3
39005,4
16065,3
39007,4
16067,4
39001,3
16061,3
39003,4
16063,4
51610,4
51530,2
39009,4
16069,3
48447,2
56041,2
56045,2
42021,6
26141,3
42023,6
26143,6
42025,4
26145,6
42027,8
26147,6
42029,2
26149,3
12005,1
12003,2
12001,2
51107,5
51105,1
51103,3
51101,3
51109,3
05109,2
51059,5
05103,1
05101,3
05107,1
05105,3
13289,2
13287,1
13285,2
13283,1
13281,2
31163,3
48127,1
31161,3
26039,4
05039,1
49047,4
05037,2
26035,4
05035,2
26037,5
05033,3
26031,5
05031,2
31167,3
49045,4
48229,1
20089,2
20087,2
20085,2
29151,2
20083,2
20081,2
49043,4
01051,1
01053,1
01055,1
01057,1
01059,1
49041,4
37019,1
13199,2
13193,1
37011,2
13191,2
37013,1
13197,3
37015,1
13195,3
37017,1
48311,1
48313,3
48315,1
48317,2
48319,2
48139,3
48429,2
48131,1
48133,2
48135,2
48137,1
47175,1
13067,3
13065,1
13063,3
55011,2
13061,1
47177,1
13069,1
13265,2
13267,2
13261,1
13263,3
13269,1
45089,3
40089,2
48047,1
48041,4
48043,2
40081,3
26153,2
40083,4
40085,3
40087,4
20065,2
37161,2
20067,2
37163,1
20061,2
37165,1
20063,2
37167,2
37169,1
20069,2
48351,1
45081,3
31119,3
31113,3
31111,3
31117,3
31115,3
48211,2
18159,3
26159,4
18153,2
18151,2
18157,3
18155,1
51117,2
29119,2
29113,2
29111,2
29117,2
29115,2
51033,3
51031,2
55065,2
51037,2
55103,3
55101,4
55107,2
55105,3
51119,3
51035,2
48055,5
38059,3
02122,2
47025,3
47023,2
47021,4
47029,3
04011,6
28073,1
17037,4
19179,2
39169,5
17039,5
19173,2
39163,3
19171,2
39161,3
19177,2
39167,3
19175,2
39165,5
22027,4
22025,3
22023,3
22021,3
22029,3
51620,2
02016,2
02013,2
16011,3
39017,6
16013,4
39015,4
16015,4
39013,3
16017,3
39011,3
16019,3
39019,4
22117,3
22115,3
19087,2
46061,3
40001,3
12039,1
42031,4
46065,3
22111,3
46067,3
42035,4
12033,4
12031,4
42039,4
12037,1
40003,2
12035,4
51133,3
51131,2
51137,3
51135,3
40005,2
51139,2
19089,3
31177,3
40007,2
13299,1
22119,4
13291,2
13293,1
13295,2
13297,3
12107,1
12105,5
12103,6
12101,6
02240,2
12109,3
26049,7
05029,3
26041,1
05021,2
26043,2
05023,3
26045,5
05025,1
26047,5
05027,1
20099,2
48239,1
20091,2
20093,2
20095,3
20097,2
13185,1
13187,2
13181,2
13183,2
01049,1
13189,2
26023,3
05115,3
05117,3
05111,2
05113,3
48309,6
05119,3
48435,2
48437,2
48431,2
48433,2
48439,3
48129,2
48123,1
48121,3
26029,5
48125,2
13071,1
13073,2
13075,1
13077,3
13079,2
13277,1
13275,1
13273,1
13271,1
45087,3
45085,4
45083,4
13279,1
18099,4
18093,2
18091,3
18097,2
18095,3
48057,1
40099,2
48053,7
48051,3
40093,2
40091,3
40097,4
40095,2
20077,3
20075,2
37199,2
20073,3
20071,2
37195,1
37197,1
37191,1
37193,1
20079,3
18167,2
20205,2
18165,2
18163,2
18161,1
20207,2
18169,2
16021,3
20201,2
29127,2
48399,3
29125,2
16023,3
29123,2
28027,1
29121,2
51595,2
20139,3
29129,2
16025,4
16027,4
35049,4
35045,4
35047,4
35041,4
35043,4
48391,2
48393,2
55139,4
55137,2
17049,4
55135,4
55133,5
55131,4
31105,3
31107,2
31101,3
31103,3
31109,4
37103,1
47013,3
47011,2
47017,2
47015,1
47019,1
39157,3
19165,2
39155,5
19167,3
39153,6
19161,2
39151,7
19163,2
30085,3
39159,3
55009,5
51041,4
55003,1
51580,2
37109,2
55007,1
55005,2
22031,4
22033,4
22035,3
22037,4
22039,3
28087,1
51630,3
02068,2
02060,2
39023,5
16003,4
39021,3
16001,4
39027,3
16007,4
39025,5
16005,4
39029,3
16009,3
48361,4
48363,3
12027,2
12021,2
12023,2
51830,3
12029,2
46073,3
46071,3
46077,3
42009,4
46075,3
42007,4
42005,4
46079,3
42003,4
42001,7
48369,2
51125,3
51127,3
51121,4
48027,5
46053,3
45017,4
48023,1
12111,3
12113,3
12115,4
12117,6
12119,3
26059,4
17199,3
17197,5
26053,2
17195,4
26051,5
17193,3
26057,4
17191,3
26055,3
48209,7
48203,1
45019,4
48201,6
48207,2
48205,2
17175,5
17177,4
17171,4
48029,5
17173,4
01077,1
01075,1
17179,6
01071,1
51141,2
48339,5
48337,1
48335,2
48333,3
48331,3
48117,2
48115,2
48113,4
48111,2
40153,2
40151,2
48119,1
48417,2
48415,2
13089,3
13085,4
13087,1
13081,1
13083,2
48413,2
13243,1
13241,2
13247,3
13245,2
13249,1
48411,3
34031,3
48063,1
48061,3
48067,1
48065,2
48069,2
20043,2
20041,3
20047,2
20045,3
37189,1
37187,1
20049,3
37185,1
37183,2
37181,2
01095,1
01097,1
01091,1
34039,3
01093,1
01099,1
18171,3
18173,2
18175,2
18177,2
18179,4
54035,1
54037,1
54031,1
54033,1
54039,1
29131,2
29133,2
29135,2
29137,2
29139,2
18085,4
18087,3
18081,2
18083,1
18089,2
48097,2
31009,3
40119,2
35059,4
31005,3
35057,4
31007,3
35055,4
31001,3
35053,4
31003,3
35051,4
45069,3
40115,3
55129,1
48099,4
55121,3
55123,3
55125,1
55127,6
31171,3
31173,2
28083,1
28081,1
31179,3
28089,2
51079,3
47009,3
47005,2
47007,2
47001,3
47003,2
19111,2
39141,3
19113,2
39143,3
19115,2
39145,4
19117,2
39147,4
19119,3
39149,3
55019,1
51077,1
49037,4
51057,3
49035,6
51051,2
46035,3
49033,4
02070,2
51053,3
19029,2
39039,4
16039,4
19025,2
39035,7
16035,3
39037,3
19021,2
39031,2
16031,4
39033,3
37139,1
51800,2
19169,2
12051,2
12053,4
12055,1
12057,6
12059,1
42019,4
46049,3
46047,3
42011,7
46045,3
42013,6
46043,3
42015,4
46041,3
42017,2
51159,2
48347,1
51153,4
51155,4
51157,2
48345,2
48343,1
48341,2
55001,2
26067,4
05099,1
26065,5
26063,5
26061,3
02261,2
26069,5
17189,4
17181,3
17183,4
17185,4
17187,4
01069,1
17165,3
17163,3
17161,4
01061,1
01063,1
01065,1
01067,1
49023,4
48329,2
48321,2
48323,1
48325,2
48327,2
48101,2
48103,2
48105,2
48107,2
48109,1
48459,1
13099,1
13097,3
13095,1
13093,1
13091,1
48215,3
48217,3
13259,2
48213,2
13255,4
13257,2
13251,2
13253,1
37097,2
48079,2
48075,2
48077,1
30061,3
48073,1
20059,2
20055,2
20057,2
20051,3
20053,3
01087,1
01085,1
01083,1
01081,1
40149,2
01089,2
05149,3
18181,3
18183,3
05147,2
54025,1
54023,1
54021,1
30063,3
54029,1
30015,3
30017,3
30011,3
30013,3
31019,3
31017,3
35061,4
31015,3
30019,3
31013,3
31011,3
48507,1
51069,2
23011,2
28091,1
23013,2
28093,1
23015,2
28095,1
23017,2
28097,1
23019,2
28099,1
31169,3
47079,2
49025,4
47071,2
47073,1
47075,4
47077,2
55061,4
19103,2
55063,2
19101,2
51036,3
19107,2
55067,3
19105,2
55069,3
19109,2
55031,1
47105,3
47107,2
47101,2
47103,2
47109,2
29067,2
39049,4
16029,4
19039,2
39041,4
19037,2
39043,3
19035,2
39045,4
19033,2
39047,2
19031,2
51810,2
33015,1
12043,1
12041,2
12047,1
48395,3
12045,1
12049,1
33011,1
46059,3
46051,3
13147,2
46055,3
46057,3
37029,1
51149,3
01007,1
51143,2
29069,2
51147,2
51145,3
33019,1
02275,2
48397,3
02270,2
26071,2
26073,6
26075,4
26077,5
26079,3
47047,4
51063,3
17153,3
48269,2
17151,3
17157,4
17155,5
05091,1
17159,4
05095,1
05097,2
48183,1
13319,2
13315,1
13317,2
13311,2
13313,2
17081,3
17083,4
17085,4
17087,3
17089,3
05145,3
48187,3
05143,3
05141,3
48469,1
48467,1
48465,1
45063,4
48463,1
48461,2
20119,2
20115,3
20117,2
20111,2
20113,3
13229,1
48263,2
48265,1
48267,2
13221,2
13223,3
13225,2
13227,4
55091,2
40049,2
40045,2
40047,3
40041,3
40043,2
48009,1
48001,1
48003,2
48005,1
48007,2
20029,2
48167,4
20021,2
20023,2
20025,2
20027,2
13135,3
13137,2
13131,1
13133,3
40139,2
13139,4
55053,3
54013,1
54011,1
54017,1
