County,Number of Issuers,Issuers
"Dawson, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Harper, OK",2,"['Coventry Health and Life', 'Blue Cross Blue Shield of Oklahoma']"
"Clarendon, SC",3,"['BlueCross BlueShield of South Carolina', ""Consumers' Choice Health Plan"", 'BlueChoice HealthPlan']"
"Winchester city, VA",2,"['HealthKeepers, Inc.', 'Optima Health Plan']"
"Converse, WY",2,"['Blue Cross Blue Shield of Wyoming', 'WINhealth Partners']"
"Perkins, SD",3,"['DAKOTACARE', 'Avera Health Plans, Inc.', 'Sanford Health Plan']"
"Bibb, AL",1,['Blue Cross and Blue Shield of Alabama']
"Reeves, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Noxubee, MS",1,['Ambetter from Magnolia Health Plan']
"Perry, AL",1,['Blue Cross and Blue Shield of Alabama']
"Nemaha, NE",3,"['Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska', 'CoOportunity Health']"
"Mercer, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Perry, AR",3,"['Ambetter of Arkansas', 'QualChoice Health Insurance', 'Arkansas Blue Cross and Blue Shield']"
"Sullivan, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health Care']"
"Clinton, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Madison, OH",3,"['Anthem Blue Cross and Blue Shield', 'CareSource', 'MedMutual']"
"Clinton, IN",3,"['Anthem Blue Cross and Blue Shield', 'PHP', 'MDwise Marketplace']"
"Clinton, IL",4,"['Land of Lincoln Mutual Health Insurance Company', 'Blue Cross Blue Shield of Illinois', 'Health Alliance Medical Plans, Inc.', 'Coventry Health Care']"
"Barton, KS",2,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Wright, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health and Life']"
"Wayne, GA",2,"['Blue Cross and Blue Shield of Georgia', 'Humana Employers Health Plan of Georgia, Inc.']"
