i,s,c,id
"Moda Health Plan, Inc.",AK,Aleutians East,"Aleutians East, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Aleutians East,"Aleutians East, AK"
"Moda Health Plan, Inc.",AK,Aleutians West Census,"Aleutians West Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Aleutians West Census,"Aleutians West Census, AK"
"Moda Health Plan, Inc.",AK,Anchorage,"Anchorage, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Anchorage,"Anchorage, AK"
"Moda Health Plan, Inc.",AK,Bethel Census,"Bethel Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Bethel Census,"Bethel Census, AK"
"Moda Health Plan, Inc.",AK,Bristol Bay,"Bristol Bay, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Bristol Bay,"Bristol Bay, AK"
"Moda Health Plan, Inc.",AK,Denali,"Denali, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Denali,"Denali, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Dillingham Census,"Dillingham Census, AK"
"Moda Health Plan, Inc.",AK,Dillingham Census,"Dillingham Census, AK"
"Moda Health Plan, Inc.",AK,Fairbanks North Star,"Fairbanks North Star, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Fairbanks North Star,"Fairbanks North Star, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Haines,"Haines, AK"
"Moda Health Plan, Inc.",AK,Haines,"Haines, AK"
"Moda Health Plan, Inc.",AK,Hoonah-Angoon Census,"Hoonah-Angoon Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Hoonah-Angoon Census,"Hoonah-Angoon Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Juneau City and,"Juneau City and, AK"
"Moda Health Plan, Inc.",AK,Juneau City and,"Juneau City and, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Kenai Peninsula,"Kenai Peninsula, AK"
"Moda Health Plan, Inc.",AK,Kenai Peninsula,"Kenai Peninsula, AK"
"Moda Health Plan, Inc.",AK,Ketchikan Gateway,"Ketchikan Gateway, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Ketchikan Gateway,"Ketchikan Gateway, AK"
"Moda Health Plan, Inc.",AK,Kodiak Island,"Kodiak Island, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Kodiak Island,"Kodiak Island, AK"
"Moda Health Plan, Inc.",AK,Lake and Peninsula,"Lake and Peninsula, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Lake and Peninsula,"Lake and Peninsula, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Matanuska-Susitna,"Matanuska-Susitna, AK"
"Moda Health Plan, Inc.",AK,Matanuska-Susitna,"Matanuska-Susitna, AK"
"Moda Health Plan, Inc.",AK,Nome Census,"Nome Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Nome Census,"Nome Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,North Slope,"North Slope, AK"
"Moda Health Plan, Inc.",AK,North Slope,"North Slope, AK"
"Moda Health Plan, Inc.",AK,Northwest Arctic,"Northwest Arctic, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Northwest Arctic,"Northwest Arctic, AK"
