parent,parent_id,Item,item_id,child,"Less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and more"
Expenditures,expenditures,Food,food,,"3,617.81","3,314.44","3,473.08","3,939.20","4,432.49","5,194.14","5,935.88","6,485.87","10,116.15"
,,,,,,,,,,,,,
Food,food,Food at home,food-at-home,,"2,390.48","2,305.38","2,470.21","2,646.57","2,951.47","3,338.71","3,688.43","3,925.18","5,427.17"
,,,,,,,,,,,,,
Food at home,food-at-home,Cereals and bakery products*,cereals-and-bakery-products,,305.52,298.36,354.32,377.2,385.39,443.95,485.79,502.58,699.65
,,,,,,,,,,,,,
Cereals and bakery products*,cereals-and-bakery-products,Cereals and cereal products*,cereals-and-cereal-products,,114.93,112.97,133.44,133.18,132.25,153.11,164.3,163.54,233.5
,,,,,,,,,,,,,
Cereals and cereal products*,cereals-and-cereal-products,Flour*,flour,child,8.96,6.13,5.84,12.03,9.68,10.39,8.78,9.46,11.59
Cereals and cereal products*,cereals-and-cereal-products,Prepared flour mixes*,prepared-flour-mixes,child,5.14,5.37,10.1,10.27,9.46,11.6,10.48,11.2,18.9
Cereals and cereal products*,cereals-and-cereal-products,Ready-to-eat and cooked cereals*,ready-to-eat-and-cooked-cereals,child,57.7,60.18,74.19,65.37,66.34,82.04,84.7,86.52,117.87
Cereals and cereal products*,cereals-and-cereal-products,Rice*,rice,child,19.75,16.73,18.3,23.29,21.72,22.51,28.39,22.06,32.31
Cereals and cereal products*,cereals-and-cereal-products,"Pasta, cornmeal and other cereal products*",pasta-cornmeal-and-other-cereal-products,child,23.37,24.58,25,22.21,25.04,26.56,31.96,34.3,52.83
,,,,,,,,,,,,,
Cereals and bakery products*,cereals-and-bakery-products,Bakery products*,bakery-products,,190.59,185.39,220.88,244.02,253.14,290.84,321.49,339.04,466.15
,,,,,,,,,,,,,
Bakery products*,bakery-products,Bread*,bread,,61,56.83,71.42,66.71,81.9,92.31,95.45,101.78,136.89
,,,,,,,,,,,,,
Bread*,bread,White bread*,white-bread,child,30.06,24.51,34.19,28.11,34.51,39.3,38.86,42.62,53.82
Bread*,bread,"Bread, other than white*",bread-other-than-white,child,30.94,32.32,37.22,38.6,47.38,53.01,56.59,59.17,83.07
,,,,,,,,,,,,,
Bakery products*,bakery-products,Cookies and crackers*,cookies-and-crackers,,46.8,44.36,54.65,64.79,56.78,72.43,73.65,83.56,115.65
,,,,,,,,,,,,,
Cookies and crackers*,cookies-and-crackers,Cookies*,cookies,child,26.22,25.87,29.74,35.52,30.51,42.11,43.16,47.43,64.14
Cookies and crackers*,cookies-and-crackers,Crackers*,crackers,child,20.59,18.49,24.91,29.27,26.28,30.32,30.49,36.13,51.52
,,,,,,,,,,,,,
Bakery products*,bakery-products,Frozen and refrigerated bakery products*,frozen-and-refrigerated-bakery-products,child,13.6,13.2,17.73,19.75,19.69,21.77,25.84,25.85,37.29
Bakery products*,bakery-products,Other bakery products*,other-bakery-products,,69.19,71,77.09,92.77,94.77,104.33,126.55,127.85,176.32
,,,,,,,,,,,,,
Other bakery products*,other-bakery-products,Biscuits and rolls*,biscuits-and-rolls,child,24.34,27.73,26.68,34.55,38.72,40.56,47.92,51.75,71.4
Other bakery products*,other-bakery-products,Cakes and cupcakes*,cakes-and-cupcakes,child,20.4,17.08,20.28,21.5,19.87,23.83,30.09,29.62,46.46
Other bakery products*,other-bakery-products,Bread and cracker products*,bread-and-cracker-products,child,4.84,6.47,3.71,4.92,4.57,3.51,7.22,6.94,9.29
Other bakery products*,other-bakery-products,"Sweetrolls, coffee cakes, doughnuts*",sweetrolls-coffee-cakes-doughnuts,child,9.04,10.87,17.54,20.93,19.85,23.94,25.55,25.83,29.63
Other bakery products*,other-bakery-products,"Pies, tarts, turnovers*",pies-tarts-turnovers,child,10.57,8.85,8.88,10.87,11.75,12.49,15.77,13.7,19.54
,,,,,,,,,,,,,
Food at home,food-at-home,"Meats, poultry, fish, and eggs*",meats-poultry-fish-and-eggs,,577.22,535.86,582.09,569.93,710.23,754.77,832.95,897.89,"1,185.38"
,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs*",meats-poultry-fish-and-eggs,Beef*,beef,,121.85,137.8,132.48,136.6,206.34,187.4,223.45,238.71,307.77
,,,,,,,,,,,,,
Beef*,beef,Ground beef*,ground-beef,child,68.12,69.65,70.32,67.31,91.75,95.77,98.5,101.84,117.19
Beef*,beef,Roast*,roast,,11.22,14.86,16.5,17.81,16.49,19.98,36.95,34.57,44.16
,,,,,,,,,,,,,
Roast*,roast,Chuck roast*,chuck-roast,child,1.59,5.94,7.32,4.03,5.75,4.19,13.46,11.94,15.16
Roast*,roast,Round roast*,round-roast,child,2.93,3.97,3.27,4.22,2.99,6.02,3.98,4.93,6.33
Roast*,roast,Other roast*,other-roast,child,6.7,4.96,5.91,9.56,7.75,9.77,19.51,17.7,22.67
,,,,,,,,,,,,,
Beef*,beef,Steak*,steak,,35.69,41.55,36.24,43.26,70.54,57.2,70.44,84.77,115.23
,,,,,,,,,,,,,
Steak*,steak,Round steak*,round-steak,child,6.71,8.06,9.61,6.87,22.58,14.2,16.31,21.37,26.15
Steak*,steak,Sirloin steak*,sirloin-steak,child,12.24,10.61,10.02,13.01,17.03,11.01,25.96,27.43,36.3
Steak*,steak,Other steak*,other-steak,child,16.74,22.89,16.61,23.38,30.93,31.99,28.17,35.98,52.78
,,,,,,,,,,,,,
Beef*,beef,Other beef*,other-beef,child,6.82,11.74,9.41,8.23,27.56,14.46,17.55,17.53,31.18
,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs*",meats-poultry-fish-and-eggs,Pork*,pork,,112.96,109.15,123.3,116.74,134.68,165.53,155.6,183.24,230.54
,,,,,,,,,,,,,
Pork*,pork,Bacon*,bacon,child,17.06,32.44,27.79,29.09,32.44,36.47,36.03,44.15,56.05
Pork*,pork,Pork chops*,pork-chops,child,22.65,16.21,18.4,20.88,21.77,28.72,24.07,27.61,36.6
Pork*,pork,Ham*,ham,,18.08,23.61,24.47,21.24,23.64,34.64,27.92,35.12,41.62
,,,,,,,,,,,,,
Ham*,ham,"Ham, not canned*",ham-not-canned,child,18.06,23.61,24.18,19.6,23.64,34.51,26.09,32.6,40.02
Ham*,ham,Canned ham*,canned-ham,child,0.01,b/,0.29,1.64,b/,0.14,1.83,2.52,1.6
,,,,,,,,,,,,,
