Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Location
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,true,"1108 ROSS CLARK CIRCLE
DOTHAN, AL 36301
(31.21537937900007, -85.36146587999997)"
010005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,true,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
"
010006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,Government - Hospital District or Authority,true,"205 MARENGO STREET
FLORENCE, AL 35631
"
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Acute Care Hospitals,Voluntary non-profit - Private,true,"702 N MAIN ST
OPP, AL 36467
"
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care Hospitals,Proprietary,false,"101 HOSPITAL CIRCLE
LUVERNE, AL 36049
(31.693116349000036, -86.26549482999997)"
010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Acute Care Hospitals,Voluntary non-profit - Private,true,"50 MEDICAL PARK EAST DRIVE
BIRMINGHAM, AL 35235
(33.59526551700003, -86.66531866799994)"
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Acute Care Hospitals,Proprietary,true,"200 MED CENTER DRIVE
FORT PAYNE, AL 35968
(34.44060759100006, -85.75726760699996)"
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Acute Care Hospitals,Voluntary non-profit - Church,true,"1000 FIRST STREET NORTH
ALABASTER, AL 35007
(33.25442932200008, -86.81407933399998)"
010018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,true,"1720 UNIVERSITY BLVD
BIRMINGHAM, AL 35233
"
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,true,"1300 SOUTH MONTGOMERY AVENUE
SHEFFIELD, AL 35660
"
