provider_id,hospital_name,street,city,state,zip_code,lat,lng,type,ownership,emergency_services,observed,days,sir,footnotes
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,31.21537937900007,-85.36146587999997,Acute Care Hospitals,Government - Hospital District or Authority,true,7,2038,2.289,
010005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,34.221334555000055,-86.15937514699993,Acute Care Hospitals,Government - Hospital District or Authority,true,0,870,0.000,
010006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,34.795039605000056,-87.68507485399994,Acute Care Hospitals,Government - Hospital District or Authority,true,2,5665,0.211,
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,31.292159523000066,-86.25539902199995,Acute Care Hospitals,Voluntary non-profit - Private,true,0,23,NA,13
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,31.693116349000036,-86.26549482999997,Acute Care Hospitals,Proprietary,false,NA,NA,NA,12
010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,33.59526551700003,-86.66531866799994,Acute Care Hospitals,Voluntary non-profit - Private,true,10,7882,0.558,
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,34.44060759100006,-85.75726760699996,Acute Care Hospitals,Proprietary,true,0,311,NA,13
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,33.25442932200008,-86.81407933399998,Acute Care Hospitals,Voluntary non-profit - Church,true,1,5015,0.106,
010018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,33.503140150000036,-86.80242858299994,Acute Care Hospitals,Voluntary non-profit - Private,true,NA,NA,NA,12
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,34.74643089500006,-87.69893502799994,Acute Care Hospitals,Government - Hospital District or Authority,true,0,915,0.000,
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,31.451350713000068,-85.63094293699999,Acute Care Hospitals,Government - Hospital District or Authority,true,1,249,NA,13
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,34.16275020900002,-85.64348979299996,Acute Care Hospitals,Voluntary non-profit - Private,true,NA,NA,NA,12
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,32.32718605800005,-86.27659061099996,Acute Care Hospitals,Voluntary non-profit - Church,true,14,9842,0.557,
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,32.36658118200006,-86.28577143999996,Acute Care Hospitals,Voluntary non-profit - Private,true,5,5596,0.605,
010029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,32.63808805900004,-85.40445272799997,Acute Care Hospitals,Government - Hospital District or Authority,true,4,3617,0.738,
010032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,33.31155057800004,-85.48497697399995,Acute Care Hospitals,Government - Local,true,NA,NA,NA,12
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,33.50902324400005,-86.79972854499994,Acute Care Hospitals,Government - State,true,50,29789,0.679,
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,32.534927776000075,-85.90985375199995,Acute Care Hospitals,Voluntary non-profit - Private,true,0,83,NA,13
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,34.19859606700004,-86.80404845899994,Acute Care Hospitals,Government - Hospital District or Authority,true,0,812,0.000,
010036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,31.297978657000044,-86.49481434799998,Acute Care Hospitals,Proprietary,true,0,118,NA,13
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,33.667678057000046,-85.83426678999996,Acute Care Hospitals,Proprietary,true,1,325,NA,13
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,34.72108061800003,-86.58128515799996,Acute Care Hospitals,Government - Hospital District or Authority,true,21,11534,0.882,
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,34.00938024200008,-85.96778839099994,Acute Care Hospitals,Proprietary,true,2,5101,0.201,
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,34.12668982400004,-87.98987352799998,Acute Care Hospitals,Voluntary non-profit - Private,true,NA,NA,NA,12
