year,thirds,weighted_mean_total_expend,weighted_mean_food,weighted_mean_housing,weighted_mean_transportation,weighted_mean_healthcare,weighted_mean_entertainment,weighted_mean_apparal,weighted_mean_reading,weighted_mean_retirement_pension,weighted_mean_cash_contrib,weighted_mean_income,median_total_expend,median_food,median_housing,median_transportation,median_healthcare,median_entertainment,median_apparal,median_reading,median_retirement_pension,median_cash_contrib,median_income
1996,Lower Third,23465.69,4469.709,7748.817,4779.971,906.5408,992.0576,1022.189,90.83981,818.9327,86.63825,16940.28,16186.45,3167.614,5674.843,1208.842,0,386.1579,402.9474,0,420.8672,0,14548.08
1997,Lower Third,26339.62,4969.511,9298.43,5092.749,1200.345,1134.478,1087.907,95.18034,965.0011,90.21821,19153.5,17045.12,3353.184,6136.958,1413.894,46.76302,462.1286,436.7694,0,501.3747,0,15696.4
1998,Lower Third,25917.1,4804.838,9145.672,4922.368,1136.434,1189.458,1066.689,92.84431,997.8351,79.43333,19395.88,16194.86,3174.551,5999.362,1201.116,10.76119,442.229,382.1732,0,522.7584,0,15794.67
1999,Lower Third,26129.84,4719.575,8987.732,5239.441,1090.091,1218.583,1103.091,86.00095,1031.924,116.7381,19585.15,16469.64,3147.648,6141.948,1233.7,26.90297,467.231,376.6416,0,593.6587,0,16141.78
2000,Lower Third,27817.75,4994.988,9332.954,5916.607,1200.127,1290.189,1113.315,81.42344,1079.018,119.9753,20081.74,17796.78,3412.361,6336.492,1484.495,78.7468,514.7571,367.4851,0,580.8434,0,15880.6
2001,Lower Third,26777.59,4730.292,9417.109,5345.986,1071.512,1308.653,1058.13,79.83529,1058.052,379.6422,20540.47,17619.35,3320.342,6412.185,1423.004,0,479.4166,339.9231,0,647.9749,0,16738.64
2002,Lower Third,27337.49,4816.234,9311.98,5693.336,1230.903,1140.289,1028.025,75.23188,1102.612,496.6224,21611.35,17852.68,3303.402,6403.517,1353.69,24.91778,465.9622,304.9294,0,681.009,0,17162.8
2003,Lower Third,26295.01,4724.651,9636.614,5052.186,1116.118,1133.736,868.0176,67.12929,1102.143,494.8157,21318.49,17726.51,3239.312,6837.439,1495.067,0,463.4707,254.1614,0,667.7969,0,17442.45
2004,Lower Third,25282.05,4692.513,9227.236,4602.052,1140.154,1065.578,816.0116,55.73589,1337.758,382.5685,25388.37,17417.29,3162.359,6510.437,1542.07,0,452.4605,209.2021,0,814.3961,0,19867.88
2005,Lower Third,24395.9,4283.663,9021.947,4559.875,1036.439,1050.401,770.4423,54.27631,1285.53,532.4547,24237.88,17401.5,3074.68,6716.992,1560.991,0,463.5671,236.5138,0,819.7566,0,20316.07
2006,Lower Third,27464.65,4784.396,10389.53,4808.784,1163.197,1164.351,885.5594,52.14087,1462.332,739.7117,26359.85,18651.59,3206.498,7186.978,1773.709,0,497.56,230.3519,0,881.0958,0,20686.98
2007,Lower Third,28636.97,5560.576,10609.59,4976.375,1142.815,1282.712,837.6354,50.89739,1585.197,611.116,27149.49,19438.81,3782.088,7334.94,1865.196,0,539.3339,224.7229,0,946.082,0,20998.07
2008,Lower Third,28477.85,5482.003,10600.67,5220.079,1228.86,1275.047,852.9507,49.73267,1412.592,599.0916,25783.29,19507.3,3825.949,7273.666,1962.614,0,549.532,218.0683,0,834.1111,0,20138.39
2009,Lower Third,26763.15,5322.139,10597.43,4103.508,1043.894,1168.395,745.2386,41.89142,1344.728,501.4216,25426.15,18797.7,3578.644,7331.856,1623.482,0,523.7744,183.2964,0,775.0819,0,19801.89
2010,Lower Third,26074.8,5268.299,10215.28,3912.225,1136.823,1140.931,694.2819,36.41222,1199.059,525.403,24103.9,18262.34,3627.782,7070.955,1631.428,0,530.7769,171.7293,0,684.413,0,18868.76
2011,Lower Third,26591.6,5277.759,10295.32,4397.868,1126.293,1110.536,671.4393,43.16584,1200.789,553.2551,24083.42,18425.46,3626.741,7343.226,1864.702,0,468.3719,167.6137,0,648.9445,0,18656.45
2012,Lower Third,26525.65,5222.73,10055.31,4437.052,1204.309,1007.187,654.3754,38.95217,1229.172,537.7782,23934.1,18364.26,3742.353,7073.458,1838.277,0,468.8222,164.499,0,709.402,0,18711.76
2013,Lower Third,25503.2,5110.528,9822.358,4384.297,1187.094,935.2857,563.4712,33.3823,1124.219,471.3173,22068.59,17541.92,3466.667,6896.907,1668.381,0,420,121.7101,0,620.7216,0,17036.88
2014,Lower Third,37683.14,6803.313,14082.1,6000.547,2308.24,1453.211,692.4498,46.85658,2724.382,913.9643,40750.33,22659.6,4680,9178,2312,140,672,180,0,894.9,0,15525.5
1996,Middle Third,37500.76,5758.123,11672.46,8225.821,1680.516,1889.804,1441.841,162.3183,3052.256,197.9133,44441.19,27325.57,4365.264,8825.062,3015.674,610.0176,777.9124,696.3297,55.96492,2335.035,0,38547.23
1997,Middle Third,41012.5,6301.675,12994.88,8622.509,1841.143,1904.008,1676.46,175.2894,3577.752,213.8879,50059.75,29123.73,4533.262,9215.065,3139.28,687.6915,896.7496,770.2144,54.59618,2609.101,0,41261.48
1998,Middle Third,42048.18,6298.118,13360.11,8843.069,1845.902,1875.679,1681.952,170.762,3780.499,244.5209,50713.65,28895.03,4476.887,9374.164,2964.573,622.3964,873.5389,709.7503,43.67694,2611.062,0,40947.13
1999,Middle Third,42518.8,6318.916,13610.05,9002.417,1888.631,2084.871,1651.821,165.7914,3705.662,246.2351,51038.79,29151.19,4465.893,9620.503,2980.849,677.9549,887.798,715.619,32.28357,2573.269,0,41699.61
2000,Middle Third,43018.5,6323.354,13661.97,9611.901,1971.944,2024.928,1581.069,157.7176,3734.135,209.8108,51767.22,29921.51,4567.314,9869.599,3281.117,692.9719,908.2131,661.4731,20.99915,2711.515,0,42023.23
2001,Middle Third,43130.38,6347.482,13594.58,9939.781,2076.546,1986.141,1552.865,140.3228,3812.224,888.363,53631.07,29900.36,4558.06,9828.154,3183.878,700.4475,894.4519,618.0419,0,2758.012,0,43931.2
2002,Middle Third,44643.26,6309.058,14157.04,10040.37,2292.103,2060.819,1533.839,132.135,3912.131,1089.966,56352.94,31044.35,4523.119,10198.12,3201.759,792.8164,955.4454,609.8588,0,2915.887,0,44856.71
2003,Middle Third,42749.48,6193.12,14109.62,9265.438,2285.678,1867.059,1314.681,118.6648,3936.78,998.4648,56882.12,30369.04,4460.282,10486.06,3239.311,749.1944,907.0078,498.3556,0,2859.315,0,44976.59
2004,Middle Third,42954.42,6419.938,13898.91,8902.719,2287.424,2087.721,1233.535,112.672,4431.533,1056.432,65106.36,30471.75,4694.886,10319.02,3201.28,744.3704,904.921,462.1908,0,3212.834,0,50455.66
2005,Middle Third,41045.53,5863.216,13569.82,8576.121,2043.208,1883.517,1129.051,92.12476,4258.165,1122.494,61218.61,31177.3,4499.016,10506.54,3453.102,695.5063,931.8647,402.0735,0,3171.792,0,50384.77
2006,Middle Third,45316.71,6534.72,15536.14,9022.58,2276.258,2107.711,1239.737,89.99928,4597.82,1259.69,66239.59,32370.19,4791.317,11190.49,3662.594,718.6978,967.4778,460.7037,0,3259.94,0,51008.88
2007,Middle Third,45607.91,7298.598,15529.9,8861.063,2279.677,2008.519,1222.184,82.74243,4653.862,1239.204,65856.46,33350.88,5258.505,11160.73,3671.965,750.573,959.5004,443.452,0,3322.072,0,50670.42
2008,Middle Third,46591.37,7471.433,15877.88,8799.607,2342.512,2350.822,1123.453,86.23821,4676.21,1256.664,66353.46,33731.34,5480.782,11252.32,4001.552,732.7094,1023.799,409.9683,0,3336.444,0,51324.77
2009,Middle Third,44422.46,7127.157,15775.15,7501.586,2417.493,2067.425,1075.659,79.36352,4503.85,1205.879,65469.51,32848.42,5106.114,11466.94,3316.792,765.3966,999.4018,353.5006,0,3172.773,0,50188.3
2010,Middle Third,43030.73,7055.049,15191.72,7583.279,2372.77,1982.167,991.773,64.70493,4251.341,1100.572,62872.72,31616.44,5117.534,11274.03,3288.616,768.4887,996.03,339.1654,0,3038.536,0,48359.19
2011,Middle Third,42994.14,7118.501,14836.96,7807.528,2556.554,1893.116,973.2162,67.75369,4161.221,1108.957,62403.47,32036.43,5265.864,11154.69,3666.55,807.8981,945.8694,335.2274,0,2969.277,0,47560.39
