,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS"
0010,"Chief executives and legislators/public administration"
0020,"General and Operations Managers"
0030,"Managers in Marketing, Advertising, and Public Relations"
0100,"Administrative Services Managers"
0110,"Computer and Information Systems Managers"
0120,"Financial Managers"
0130,"Human Resources Managers"
0140,"Industrial Production Managers"
0150,"Purchasing Managers"
0160,"Transportation, Storage, and Distribution Managers"
0205,"Farmers, Ranchers, and Other Agricultural Managers"
0220,"Constructions Managers"
0230,"Education Administrators"
0300,"Architectural and Engineering Managers"
0310,"Food Service and Lodging Managers"
0320,"Funeral Directors"
0330,"Gaming Managers"
0350,"Medical and Health Services Managers"
0360,"Natural Science Managers"
0410,"Property, Real Estate, and Community Association Managers"
0420,"Social and Community Service Managers"
0430,"Managers, nec (including Postmasters)"
,"BUSINESS OPERATIONS SPECIALISTS"
0500,"Agents and Business Managers of Artists, Performers, and Athletes"
0510,"Buyers and Purchasing Agents, Farm Products"
0520,"Wholesale and Retail Buyers, Except Farm Products"
0530,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
0540,"Claims Adjusters, Appraisers, Examiners, and Investigators"
0560,"Compliance Officers, Except Agriculture"
0600,"Cost Estimators"
0620,"Human Resources, Training, and Labor Relations Specialists"
0700,"Logisticians"
0710,"Management Analysts"
0720,"Meeting and Convention Planners"
0730,"Other Business Operations and Management Specialists"
,"FINANCIAL SPECIALISTS"
0800,"Accountants and Auditors"
0810,"Appraisers and Assessors of Real Estate"
0820,"Budget Analysts"
0830,"Credit Analysts"
0840,"Financial Analysts"
0850,"Personal Financial Advisors"
0860,"Insurance Underwriters"
0900,"Financial Examiners"
0910,"Credit Counselors and Loan Officers"
0930,"Tax Examiners and Collectors, and Revenue Agents"
0940,"Tax Preparers"
0950,"Financial Specialists, nec"
,"COMPUTER AND MATHEMATICAL"
1000,"Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers"
1010,"Computer Programmers"
1020,"Software Developers, Applications and Systems Software"
1050,"Computer Support Specialists"
1060,"Database Administrators"
1100,"Network and Computer Systems Administrators"
1200,"Actuaries"
1220,"Operations Research Analysts"
1230,"Statisticians"
1240,"Mathematical science occupations, nec"
,"ARCHITECTURE AND ENGINEERING"
1300,"Architects, Except Naval"
1310,"Surveyors, Cartographers, and Photogrammetrists"
1320,"Aerospace Engineers"
1350,"Chemical Engineers"
1360,"Civil Engineers"
1400,"Computer Hardware Engineers"
1410,"Electrical and Electronics Engineers"
1420,"Environmental Engineers"
1430,"Industrial Engineers, including Health and Safety"
1440,"Marine Engineers and Naval Architects"
1450,"Materials Engineers"
1460,"Mechanical Engineers"
1520,"Petroleum, mining and geological engineers, including mining safety engineers"
1530,"Engineers, nec"
1540,"Drafters"
,"TECHNICIANS"
1550,"Engineering Technicians, Except Drafters"
1560,"Surveying and Mapping Technicians"
,"LIFE, PHYSICAL, AND SOCIAL SCIENCE"
1600,"Agricultural and Food Scientists"
1610,"Biological Scientists"
1640,"Conservation Scientists and Foresters"
1650,"Medical Scientists, and Life Scientists, All Other"
1700,"Astronomers and Physicists"
1710,"Atmospheric and Space Scientists"
1720,"Chemists and Materials Scientists"
1740,"Environmental Scientists and Geoscientists"
1760,"Physical Scientists, nec"
1800,"Economists and market researchers"
1820,"Psychologists"
1830,"Urban and Regional Planners"
1840,"Social Scientists, nec"
1900,"Agricultural and Food Science Technicians"
1910,"Biological Technicians"
1920,"Chemical Technicians"
1930,"Geological and Petroleum Technicians, and Nuclear Technicians"
1960,"Life, Physical, and Social Science Technicians, nec"
1980,"Professional, Research, or Technical Workers, nec"
,"COMMUNITY AND SOCIAL SERVICES"
2000,"Counselors"
2010,"Social Workers"
2020,"Community and Social Service Specialists, nec"
2040,"Clergy"
2050,"Directors, Religious Activities and Education"
2060,"Religious Workers, nec"
,"LEGAL"
2100,"Lawyers, and judges, magistrates, and other judicial workers"
2140,"Paralegals and Legal Assistants"
2150,"Legal Support Workers, nec"
,"EDUCATION, TRAINING, AND LIBRARY"
2200,"Postsecondary Teachers"
2300,"Preschool and Kindergarten Teachers"
2310,"Elementary and Middle School Teachers"
2320,"Secondary School Teachers"
2330,"Special Education Teachers"
2340,"Other Teachers and Instructors"
2400,"Archivists, Curators, and Museum Technicians"
2430,"Librarians"
2440,"Library Technicians"
2540,"Teacher Assistants"
2550,"Education, Training, and Library Workers, nec"
,"ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA"
2600,"Artists and Related Workers"
2630,"Designers"
2700,"Actors, Producers, and Directors"
2720,"Athletes, Coaches, Umpires, and Related Workers"
2740,"Dancers and Choreographers"
2750,"Musicians, Singers, and Related Workers"
2760,"Entertainers and Performers, Sports and Related Workers, All Other"
2800,"Announcers"
2810,"Editors, News Analysts, Reporters, and Correspondents"
2825,"Public Relations Specialists"
2840,"Technical Writers"
2850,"Writers and Authors"
2860,"Media and Communication Workers, nec"
2900,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other"
2910,"Photographers"
2920,"Television, Video, and Motion Picture Camera Operators and Editors"
,"HEALTHCARE PRACTITIONERS AND TECHNICAL"
3000,"Chiropractors"
3010,"Dentists"
3030,"Dieticians and Nutritionists"
3040,"Optometrists"
3050,"Pharmacists"
3060,"Physicians and Surgeons"
3110,"Physician Assistants"
3120,"Podiatrists"
3130,"Registered Nurses"
3140,"Audiologists"
3150,"Occupational Therapists"
3160,"Physical Therapists"
3200,"Radiation Therapists"
3210,"Recreational Therapists"
3220,"Respiratory Therapists"
3230,"Speech Language Pathologists"
3240,"Therapists, nec"
3250,"Veterinarians"
3260,"Health Diagnosing and Treating Practitioners, nec"
3300,"Clinical Laboratory Technologists and Technicians"
3310,"Dental Hygienists"
3320,"Diagnostic Related Technologists and Technicians"
3400,"Emergency Medical Technicians and Paramedics"
3410,"Health Diagnosing and Treating Practitioner Support Technicians"
3500,"Licensed Practical and Licensed Vocational Nurses"
3510,"Medical Records and Health Information Technicians"
3520,"Opticians, Dispensing"
3530,"Health Technologists and Technicians, nec"
3540,"Healthcare Practitioners and Technical Occupations, nec"
,"HEALTHCARE SUPPORT"
3600,"Nursing, Psychiatric, and Home Health Aides"
3610,"Occupational Therapy Assistants and Aides"
3620,"Physical Therapist Assistants and Aides"
3630,"Massage Therapists"
3640,"Dental Assistants"
3650,"Medical Assistants and Other Healthcare Support Occupations, nec"
,"PROTECTIVE SERVICE"
3700,"First-Line Supervisors of Correctional Officers"
3710,"First-Line Supervisors of Police and Detectives"
3720,"First-Line Supervisors of Fire Fighting and Prevention Workers"
3730,"Supervisors, Protective Service Workers, All Other"
3740,"Firefighters"
3750,"Fire Inspectors"
3800,"Sheriffs, Bailiffs, Correctional Officers, and Jailers"
3820,"Police Officers and Detectives"
3900,"Animal Control"
3910,"Private Detectives and Investigators"
3930,"Security Guards and Gaming Surveillance Officers"
3940,"Crossing Guards"
3950,"Law enforcement workers, nec"
,"FOOD PREPARATION AND SERVING"
4000,"Chefs and Cooks"
4010,"First-Line Supervisors of Food Preparation and Serving Workers"
4030,"Food Preparation Workers"
4040,"Bartenders"
4050,"Combined Food Preparation and Serving Workers, Including Fast Food"
4060,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop"
