category_code,description_code,description
01,0010,Chief executives and legislators/public administration
01,0020,General and Operations Managers
01,0030,"Managers in Marketing, Advertising, and Public Relations"
01,0100,Administrative Services Managers
01,0110,Computer and Information Systems Managers
01,0120,Financial Managers
01,0130,Human Resources Managers
01,0140,Industrial Production Managers
01,0150,Purchasing Managers
01,0160,"Transportation, Storage, and Distribution Managers"
01,0205,"Farmers, Ranchers, and Other Agricultural Managers"
01,0220,Constructions Managers
01,0230,Education Administrators
01,0300,Architectural and Engineering Managers
01,0310,Food Service and Lodging Managers
01,0320,Funeral Directors
01,0330,Gaming Managers
01,0350,Medical and Health Services Managers
01,0360,Natural Science Managers
01,0410,"Property, Real Estate, and Community Association Managers"
01,0420,Social and Community Service Managers
01,0430,"Managers, nec (including Postmasters)"
02,0500,"Agents and Business Managers of Artists, Performers, and Athletes"
02,0510,"Buyers and Purchasing Agents, Farm Products"
02,0520,"Wholesale and Retail Buyers, Except Farm Products"
02,0530,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
02,0540,"Claims Adjusters, Appraisers, Examiners, and Investigators"
02,0560,"Compliance Officers, Except Agriculture"
02,0600,Cost Estimators
02,0620,"Human Resources, Training, and Labor Relations Specialists"
02,0700,Logisticians
02,0710,Management Analysts
02,0720,Meeting and Convention Planners
02,0730,Other Business Operations and Management Specialists
03,0800,Accountants and Auditors
03,0810,Appraisers and Assessors of Real Estate
03,0820,Budget Analysts
03,0830,Credit Analysts
03,0840,Financial Analysts
03,0850,Personal Financial Advisors
03,0860,Insurance Underwriters
03,0900,Financial Examiners
03,0910,Credit Counselors and Loan Officers
03,0930,"Tax Examiners and Collectors, and Revenue Agents"
03,0940,Tax Preparers
03,0950,"Financial Specialists, nec"
04,1000,Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers
04,1010,Computer Programmers
04,1020,"Software Developers, Applications and Systems Software"
04,1050,Computer Support Specialists
04,1060,Database Administrators
04,1100,Network and Computer Systems Administrators
04,1200,Actuaries
04,1220,Operations Research Analysts
04,1230,Statisticians
04,1240,"Mathematical science occupations, nec"
05,1300,"Architects, Except Naval"
05,1310,"Surveyors, Cartographers, and Photogrammetrists"
05,1320,Aerospace Engineers
05,1350,Chemical Engineers
05,1360,Civil Engineers
05,1400,Computer Hardware Engineers
05,1410,Electrical and Electronics Engineers
05,1420,Environmental Engineers
05,1430,"Industrial Engineers, including Health and Safety"
05,1440,Marine Engineers and Naval Architects
05,1450,Materials Engineers
05,1460,Mechanical Engineers
05,1520,"Petroleum, mining and geological engineers, including mining safety engineers"
05,1530,"Engineers, nec"
05,1540,Drafters
06,1550,"Engineering Technicians, Except Drafters"
06,1560,Surveying and Mapping Technicians
07,1600,Agricultural and Food Scientists
07,1610,Biological Scientists
07,1640,Conservation Scientists and Foresters
07,1650,"Medical Scientists, and Life Scientists, All Other"
07,1700,Astronomers and Physicists
07,1710,Atmospheric and Space Scientists
07,1720,Chemists and Materials Scientists
07,1740,Environmental Scientists and Geoscientists
07,1760,"Physical Scientists, nec"
07,1800,Economists and market researchers
07,1820,Psychologists
07,1830,Urban and Regional Planners
07,1840,"Social Scientists, nec"
07,1900,Agricultural and Food Science Technicians
07,1910,Biological Technicians
07,1920,Chemical Technicians
07,1930,"Geological and Petroleum Technicians, and Nuclear Technicians"
07,1960,"Life, Physical, and Social Science Technicians, nec"
07,1980,"Professional, Research, or Technical Workers, nec"
08,2000,Counselors
08,2010,Social Workers
08,2020,"Community and Social Service Specialists, nec"
08,2040,Clergy
08,2050,"Directors, Religious Activities and Education"
08,2060,"Religious Workers, nec"
09,2100,"Lawyers, and judges, magistrates, and other judicial workers"
09,2140,Paralegals and Legal Assistants
09,2150,"Legal Support Workers, nec"
10,2200,Postsecondary Teachers
10,2300,Preschool and Kindergarten Teachers
10,2310,Elementary and Middle School Teachers
10,2320,Secondary School Teachers
10,2330,Special Education Teachers
10,2340,Other Teachers and Instructors
10,2400,"Archivists, Curators, and Museum Technicians"
10,2430,Librarians
10,2440,Library Technicians
10,2540,Teacher Assistants
10,2550,"Education, Training, and Library Workers, nec"
11,2600,Artists and Related Workers
11,2630,Designers
11,2700,"Actors, Producers, and Directors"
11,2720,"Athletes, Coaches, Umpires, and Related Workers"
11,2740,Dancers and Choreographers
11,2750,"Musicians, Singers, and Related Workers"
11,2760,"Entertainers and Performers, Sports and Related Workers, All Other"
11,2800,Announcers
11,2810,"Editors, News Analysts, Reporters, and Correspondents"
11,2825,Public Relations Specialists
11,2840,Technical Writers
11,2850,Writers and Authors
11,2860,"Media and Communication Workers, nec"
11,2900,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other"
11,2910,Photographers
11,2920,"Television, Video, and Motion Picture Camera Operators and Editors"
12,3000,Chiropractors
