GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population for whom poverty status is determined
HC01_MOE_VC01,Total; Margin of Error; Population for whom poverty status is determined
HC02_EST_VC01,Below poverty level; Estimate; Population for whom poverty status is determined
HC02_MOE_VC01,Below poverty level; Margin of Error; Population for whom poverty status is determined
HC03_EST_VC01,Percent below poverty level; Estimate; Population for whom poverty status is determined
HC03_MOE_VC01,Percent below poverty level; Margin of Error; Population for whom poverty status is determined
HC01_EST_VC03,Total; Estimate; AGE - Under 18 years
HC01_MOE_VC03,Total; Margin of Error; AGE - Under 18 years
HC02_EST_VC03,Below poverty level; Estimate; AGE - Under 18 years
HC02_MOE_VC03,Below poverty level; Margin of Error; AGE - Under 18 years
HC03_EST_VC03,Percent below poverty level; Estimate; AGE - Under 18 years
HC03_MOE_VC03,Percent below poverty level; Margin of Error; AGE - Under 18 years
HC01_EST_VC04,Total; Estimate; AGE - Under 18 years - Related children under 18 years
HC01_MOE_VC04,Total; Margin of Error; AGE - Under 18 years - Related children under 18 years
HC02_EST_VC04,Below poverty level; Estimate; AGE - Under 18 years - Related children under 18 years
HC02_MOE_VC04,Below poverty level; Margin of Error; AGE - Under 18 years - Related children under 18 years
HC03_EST_VC04,Percent below poverty level; Estimate; AGE - Under 18 years - Related children under 18 years
HC03_MOE_VC04,Percent below poverty level; Margin of Error; AGE - Under 18 years - Related children under 18 years
HC01_EST_VC05,Total; Estimate; AGE - 18 to 64 years
HC01_MOE_VC05,Total; Margin of Error; AGE - 18 to 64 years
HC02_EST_VC05,Below poverty level; Estimate; AGE - 18 to 64 years
HC02_MOE_VC05,Below poverty level; Margin of Error; AGE - 18 to 64 years
HC03_EST_VC05,Percent below poverty level; Estimate; AGE - 18 to 64 years
HC03_MOE_VC05,Percent below poverty level; Margin of Error; AGE - 18 to 64 years
HC01_EST_VC06,Total; Estimate; AGE - 65 years and over
HC01_MOE_VC06,Total; Margin of Error; AGE - 65 years and over
HC02_EST_VC06,Below poverty level; Estimate; AGE - 65 years and over
HC02_MOE_VC06,Below poverty level; Margin of Error; AGE - 65 years and over
HC03_EST_VC06,Percent below poverty level; Estimate; AGE - 65 years and over
HC03_MOE_VC06,Percent below poverty level; Margin of Error; AGE - 65 years and over
HC01_EST_VC09,Total; Estimate; SEX - Male
HC01_MOE_VC09,Total; Margin of Error; SEX - Male
HC02_EST_VC09,Below poverty level; Estimate; SEX - Male
HC02_MOE_VC09,Below poverty level; Margin of Error; SEX - Male
HC03_EST_VC09,Percent below poverty level; Estimate; SEX - Male
HC03_MOE_VC09,Percent below poverty level; Margin of Error; SEX - Male
HC01_EST_VC10,Total; Estimate; SEX - Female
HC01_MOE_VC10,Total; Margin of Error; SEX - Female
HC02_EST_VC10,Below poverty level; Estimate; SEX - Female
HC02_MOE_VC10,Below poverty level; Margin of Error; SEX - Female
HC03_EST_VC10,Percent below poverty level; Estimate; SEX - Female
HC03_MOE_VC10,Percent below poverty level; Margin of Error; SEX - Female
HC01_EST_VC13,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_MOE_VC13,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_EST_VC13,Below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_MOE_VC13,Below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_EST_VC13,Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
